4;Collision;LEFT player;3;RIGHT player;2;distance 9;(477,137);(485,134)
4;Collision;LEFT player;3;RIGHT player;2;distance 9;(496,137);(504,134)
4;Collision;LEFT player;2;RIGHT player;5;distance 11;(544,132);(555,129)
4;Collision;LEFT player;3;RIGHT player;2;distance 9;(515,137);(523,134)
4;Collision;LEFT player;2;RIGHT player;5;distance 9;(564,132);(555,129)
4;Collision;LEFT player;3;RIGHT player;2;distance 8;(534,136);(527,139)
4;Collision;LEFT player;3;RIGHT player;2;distance 8;(534,136);(527,139)
4;Collision;LEFT player;3;RIGHT player;2;distance 6;(540,145);(544,149)
4;Collision;LEFT player;2;RIGHT player;4;distance 7;(581,121);(588,121)
4;Collision;LEFT player;2;RIGHT player;4;distance 6;(599,113);(605,112)
4;Collision;LEFT player;3;RIGHT player;5;distance 12;(573,127);(576,115)
4;Collision;LEFT player;2;RIGHT player;4;distance 6;(616,104);(622,103)
4;Collision;LEFT player;3;RIGHT player;5;distance 9;(590,118);(593,109)
4;Collision;LEFT player;2;RIGHT player;4;distance 6;(631,92);(636,89)
4;Collision;LEFT player;3;RIGHT player;5;distance 8;(606,107);(609,100)
4;Collision;LEFT player;2;RIGHT player;4;distance 1;(626,73);(627,72)
4;Collision;LEFT player;3;RIGHT player;5;distance 4;(608,97);(606,93)
4;Collision;LEFT player;2;RIGHT player;4;distance 0;(611,61);(611,61)
4;Collision;LEFT player;3;RIGHT player;5;distance 8;(603,89);(611,91)
4;Collision;LEFT player;2;RIGHT player;3;distance 13;(594,51);(582,57)
4;Collision;LEFT player;3;RIGHT player;5;distance 9;(595,80);(604,77)
4;Collision;LEFT player;2;RIGHT player;3;distance 7;(577,42);(570,42)
4;Collision;LEFT player;3;RIGHT player;5;distance 5;(586,70);(590,67)
4;Collision;LEFT player;2;RIGHT player;3;distance 6;(560,33);(554,31)
4;Collision;LEFT player;3;RIGHT player;5;distance 3;(574,59);(574,62)
5;Collision;LEFT player;2;RIGHT player;3;distance 6;(543,24);(538,21)
5;Collision;LEFT player;3;RIGHT player;5;distance 9;(561,47);(558,56)
5;Collision;LEFT player;2;RIGHT player;3;distance 6;(526,15);(521,12)
5;Collision;LEFT player;3;RIGHT player;4;distance 13;(531,28);(531,15)
5;Collision;LEFT player;2;RIGHT player;3;distance 9;(489,26);(484,19)
5;Collision;LEFT player;3;RIGHT player;4;distance 10;(518,24);(513,15)
5;Collision;LEFT player;2;RIGHT player;3;distance 5;(470,25);(465,23)
5;Collision;LEFT player;3;RIGHT player;4;distance 8;(499,24);(494,18)
5;Collision;LEFT player;2;RIGHT player;3;distance 5;(451,30);(446,29)
5;Collision;LEFT player;3;RIGHT player;4;distance 6;(480,26);(475,23)
5;Collision;LEFT player;3;RIGHT player;4;distance 10;(462,31);(472,30)
5;Collision;LEFT player;3;RIGHT player;4;distance 11;(444,31);(455,30)
5;Collision;LEFT player;3;RIGHT player;4;distance 11;(425,30);(436,30)
5;Collision;LEFT player;3;RIGHT player;4;distance 11;(406,28);(417,29)
5;Collision;LEFT player;3;RIGHT player;3;distance 4;(387,26);(383,26)
5;Collision;LEFT player;2;RIGHT player;2;distance 13;(303,28);(296,17)
5;Collision;LEFT player;2;RIGHT player;2;distance 11;(284,25);(277,16)
5;Collision;LEFT player;3;RIGHT player;3;distance 6;(319,22);(324,25)
5;Collision;LEFT player;2;RIGHT player;2;distance 11;(265,24);(257,16)
5;Collision;LEFT player;3;RIGHT player;3;distance 5;(300,22);(305,24)
5;Collision;LEFT player;2;RIGHT player;2;distance 11;(246,24);(238,16)
5;Collision;LEFT player;3;RIGHT player;3;distance 5;(281,22);(286,24)
5;Collision;LEFT player;2;RIGHT player;2;distance 11;(227,24);(219,17)
5;Collision;LEFT player;3;RIGHT player;3;distance 5;(262,22);(267,24)
5;Collision;LEFT player;2;RIGHT player;2;distance 9;(208,24);(200,19)
5;Collision;LEFT player;3;RIGHT player;3;distance 5;(243,22);(248,24)
5;Collision;LEFT player;2;RIGHT player;2;distance 9;(189,25);(181,21)
